phase,epoch,train_acc,val_acc,train_loss,val_loss,avg_time_per_epoch
dropout_0.2_freeze,1,0.8650216370499954,0.93646408839779,0.5928349086630467,0.2242773543432711,605.8651237487793
dropout_0.2_freeze,2,0.9268713746432188,0.9541436464088398,0.2559548366433096,0.1568078652092875,298.46346950531006
dropout_0.2_freeze,3,0.9363778657582176,0.9605893186003684,0.2120435621039598,0.1302364969715256,298.3374810218811
dropout_0.2_freeze,4,0.938702697725808,0.96390423572744,0.1928359296232195,0.1197681706607973,299.83950304985046
dropout_0.2_freeze,5,0.9431682165546452,0.9633517495395948,0.1806226380861559,0.1117940930742256,297.9866466522217
dropout_0.2_finetune,1,0.9509713654359636,0.9707182320441988,0.1515240769782905,0.0918222564294879,298.2421290874481
dropout_0.2_finetune,2,0.9572783353282388,0.9720073664825046,0.1327515693638505,0.087415174629306,297.3740105628968
dropout_0.2_finetune,3,0.9601095663382746,0.9751381215469612,0.122783983256107,0.0776623171371704,298.2879478931427
dropout_0.2_finetune,4,0.9639305772949084,0.976427255985267,0.1137061242829473,0.0688018812242257,297.2050395011902
dropout_0.2_finetune,5,0.9675674431451984,0.9777163904235728,0.1010918260926113,0.0710967014048893,298.5412628650665
dropout_0.2_finetune,6,0.9688104226130192,0.9806629834254144,0.0954382383756716,0.0610465676666959,298.8182461261749
dropout_0.2_finetune,7,0.970536782984992,0.9823204419889504,0.0883063087348763,0.0567983710341683,299.00369477272034
dropout_0.2_finetune,8,0.9728155786759968,0.9828729281767956,0.0838788804822729,0.054931823259415,300.2378466129303
dropout_0.2_finetune,9,0.9735291409630789,0.983609576427256,0.0815787797236547,0.0515786362046969,297.7415816783905
dropout_0.2_finetune,10,0.9754626645796888,0.9845303867403314,0.0774274590455977,0.0479312915799617,298.63994884490967
dropout_0.8_freeze,1,0.7186492956449683,0.9151012891344384,1.0853491474466752,0.3489664043593143,295.60325932502747
dropout_0.8_freeze,2,0.7943329343522696,0.9281767955801103,0.6798898997737958,0.2633055184701969,294.8793630599976
dropout_0.8_freeze,3,0.7968649295644968,0.9316758747697974,0.658414819646459,0.231070617595636,295.601348400116
dropout_0.8_freeze,4,0.803977534297026,0.9377532228360956,0.6467619554057612,0.2139007037848536,294.7403094768524
dropout_0.8_freeze,5,0.805888039775343,0.9316758747697974,0.6348376187893163,0.2100793559155658,294.7671868801117
dropout_0.8_finetune,1,0.8231516434950741,0.947329650092081,0.5688661622491816,0.1682211334402047,297.8005075454712
dropout_0.8_finetune,2,0.847044471043182,0.947145488029466,0.48456995789983437,0.1603455501921564,294.6330335140228
dropout_0.8_finetune,3,0.8628118957738699,0.9546961325966851,0.4353747368846718,0.14421681028136446,296.2118167877197
dropout_0.8_finetune,4,0.8713976613571495,0.960036832412523,0.4002649976111569,0.12825109498680598,295.3842658996582
dropout_0.8_finetune,5,0.8841727281097504,0.9609576427255986,0.35996499306127605,0.13009943103518626,297.1855070590973
dropout_0.8_finetune,6,0.8912623147039868,0.961694290976059,0.333310559665001,0.11431629046292643,458.4385256767273
dropout_0.8_finetune,7,0.8988122640640825,0.9661141804788214,0.3123956998181973,0.10618568908918004,500.0728898048401
dropout_0.8_finetune,8,0.9041985084246387,0.9670349907918969,0.29691108216782564,0.10191154008398455,296.6831555366516
dropout_0.8_finetune,9,0.908433845870546,0.9697974217311234,0.2818480653952591,0.09559594220137177,293.95072412490845
dropout_0.8_finetune,10,0.9122548568271798,0.9720073664825046,0.2686454879061511,0.0895365559037024,296.26859307289124
